Queries,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
How is the spinning mule fuelled,7,70.0,0.87
What are two properties or characteristics of cotton fibers,3,30.0,0.64
Information needed to locate a nonfiction book,0,0.0,0.0
What is a non-chordates,2,20.0,0.99
Which team won the 2006 Stanley Cup,2,20.0,0.99
What bands are there in folk music,0,0.0,0.0
What invented by persian,5,50.0,0.67
Where was the place of origin for Taoism,7,70.0,0.62
How many seats does usc stadium hold,2,20.0,0.97
What is one of selena gomez top hit,2,20.0,0.99
Sidney crosby live in pittburgh,1,10.0,0.98
What is a normal 8year olds blood presure,1,10.0,0.99
The capital city of the pennsylvannia colony was,0,0.0,0.0
How many cups is 1 pounds of almond,0,0.0,0.0
What parts make up the chloroplast,3,30.0,0.61
What do crocodiles do to survive,1,10.0,1.0
What is the name of the dog in Garfield ',4,40.0,0.92
Are paris hilton and icole richie friends,2,20.0,0.9
What is yur ideal job,5,50.0,0.93
What are some cheats for pets on barbiegirlscom,0,0.0,0.0
What are five obstacles to prayer,2,20.0,0.81
How many chriss are in the world,0,0.0,0.0
What year did john cabot return to England from canada,6,60.0,0.85
What is the brown and white myepet 's code,0,0.0,0.0
How much moneydoes a coach of soccer earn,1,10.0,0.98
What is prospecting and what does prospector do,0,0.0,0.0
How do you calculate load pressure,2,20.0,0.22
2001 walking liberty silver dollar,0,0.0,0.0
What is the number one adaptation for a sea anemone,1,10.0,0.78
How much is the average yearly wage for an EMT intermediate in Georgia,0,0.0,0.0
What kind of galleys is the milky way,0,0.0,0.0
The name of ernest hemingway parents,2,20.0,0.98
What is the hackcode to stick rpg complete,0,0.0,0.0
What is the scientific name of the tail bone,5,50.0,0.86
What kind of places do '' tourists visit when they travel to Poland,0,0.0,0.0
How did Carolus Linaaeus classify organisms,3,30.0,0.55
Infection of the skin on the lower leg unknown origin found icd-9cm,0,0.0,0.0
What is the standard size for a billiards table in cm,3,30.0,0.89
Do glaciers vreate mountains,1,10.0,0.85
Who discovered x-rays and radiation therapy,2,20.0,0.95
Some sentences of possessive adjectives in french,4,40.0,0.88
Milage Frankfurt am Mainz to Vienna,0,0.0,0.0
What do christians believe about healthy living,0,0.0,0.0
How did telegraph change,1,10.0,0.85
What do playboy girls do,2,20.0,0.81
What is photoynthesis,6,60.0,0.57
In which do you want to improve,0,0.0,0.0
How do you replace a motor starter on a 1985 thunderbird,0,0.0,0.0
Where does sperm can be found,2,20.0,1.0
How do you access a routers settings,3,30.0,1.0
The fundamental unit for measuring distance,0,0.0,0.0
How many lines are there in a limerick,0,0.0,0.0
How many black 6 in a deck,2,20.0,0.99
How many bean seeds are in a pound,1,10.0,0.99
What religon 's does russia have,2,20.0,0.98
How many species of panda 's,2,20.0,0.92
What is a model 1878 colt shotgun worth,2,20.0,0.78
What temperature should a snake,0,0.0,0.0
When was the first Radar used in weather observation,0,0.0,0.0
What are the important religious celebrations of the Islam,3,30.0,0.98
The ar code for the pokemon modifier,0,0.0,0.0
Massachusetts age to be left alone,4,40.0,0.81
What is spring like in the alps,0,0.0,0.0
What is the popolarion of your London,1,10.0,0.78
What is the order of british nobility,6,60.0,0.85
What do you call a testable prediction about a possible solution to a problem,0,0.0,0.0
You hear chreeing noises on your Nissian Altima,0,0.0,0.0
What is neo-confuciansim,3,30.0,0.98
How can you solve this issue in transporting,0,0.0,0.0
Why does co curicullar activities bother studies,0,0.0,0.0
What temperture do you cook a chicken at,0,0.0,0.0
What does the proper left turn signal look like,0,0.0,0.0
What are the main two motions of earth,0,0.0,0.0
At what level does leafeon learn it final move,1,10.0,1.0
What is 1921 wheat penny worth,5,50.0,0.87
What causes a person to be fat or thin,2,20.0,1.0
Replacing wiper blades on a 98 chevy s 10,2,20.0,0.73
How many stitchs does a baseball have,1,10.0,0.9
What is postive externality,4,40.0,0.79
How many calories in 1 teaspoon of white sugar,0,0.0,0.0
Is cloth heavier than paper,0,0.0,0.0
Peter pan dog name,3,30.0,0.98
What is the process the army uses for risk management,0,0.0,0.0
What is the runaway growth of the bodys own cells,3,30.0,0.93
How would you test sugar,2,20.0,0.97
How do you heal pink eye,8,80.0,0.01
What is the meaning of the word mariam,0,0.0,0.0
How much does it cost for 1 gram of iron,0,0.0,0.0
What is the theme in Cirque du Freak,1,10.0,0.99
Who are daniel radcliffe is parents,3,30.0,0.93
How do capitalize the letter f in cursive,0,0.0,0.0
What is the value of a 1935 series f one dollar silver certificate,0,0.0,0.0
What si the offical language of somalia,3,30.0,0.75
Measurements of the field,0,0.0,0.0
What is the name of the leader of columbia,2,20.0,0.92
When was potassium discovered in,2,20.0,0.98
What size is 34 inch waist,0,0.0,0.0
The island future Singapore is,2,20.0,0.9
What did schindler see,3,30.0,0.69
How do you get rid of permanet marker,2,20.0,0.63
Averages,1.68,16.8,0.51
